Ligand,LXZ_Classification,SMILES,Formal_Charge,Notes,Index
CH=CH₂ (vinyl),X,[CH-]=C,-1,,156
SiCl₃ (trichlorosilyl),X,[Si-](Cl)(Cl)Cl,-1,,157
=NBuᵗ (t-butylimino),X2,[N-2]C(C)(C)C,-2,,158
NPh₂ (diphenylamino: planar),LX,[N-](C1C=CC=CC=1)C1C=CC=CC=1,-1,,159
O₂CNMe₂ (dimethylcarbamato-κ²O),LX,O=C(N(C)C)[O-],-1,,160
CO₃ (carbonato-κ²O),X2,C([O-])([O-])=O,-2,,161
Ox (oxalato),X2,C(=O)([O-])C([O-])=O,-2,,162
O₂CCF₃ (trifluoroacetato-κO),X,C(=O)(C(F)(F)F)[O-],-1,,163
O₂CH (formato-κO),X,C(=O)[O-],-1,,164
O₂CNEt₂ (diethylcarbamato-κ²O),LX,N(CC)(CC)C(=O)[O-],-1,,165
O₂CPh (benzoato-κO),X,O=C(C1C=CC=CC=1)[O-],-1,,166
SCH=CHS (ethenedithiolato-κ²S),X2,[S-]/C=C\[S-],-2,,167
SeMe (methylselenyl),X,[Se-]C,-1,,168
SEt (ethylthio),X,[S-]CC,-1,,169
"Se₂C₆H₄-o (benzene-1,2-diselenolato-κ²Se)",X2,C1C=CC=C([Se-])C=1[Se-],-2,,170
Se₅ (pentaseleno-κ²Se),X2,[Se-][Se][Se][Se][Se-],-2,,171
SMe (methylthio),X,[S-]C,-1,,172
S₂ (disulfanediyl-κ²S),X2,[S-][S-],-2,,173
"S₂C₆H₄ (benzene-1,2-dithiolato-κ²S)",X2,C1C=C([S-])C([S-])=CC=1,-2,,174
S₃ (trisulfanediyl-κ²S),X2,[S-]S[S-],-2,,175
S₅ (pentasulfanediyl-κ²S),X2,[S-]SSS[S-],-2,,176
Te₂ (pertellurido-κ²Te),X2,[Te-][Te-],-2,,177
C₂H₄ (ethene),L,C=C,0,,178
Me₃SiC≡CSiMe₃ (bistrimethylsilylethyne),L,C([Si](C)(C)C)#C[Si](C)(C)C,0,,179
Me₃SnC≡CSnMe₃ (bistrimethylstanylethyne),L,C([Sn](C)(C)C)#C[Sn](C)(C)C,0,,180
PF₃ (trifluorophosphane),L,P(F)(F)F,0,,181
NCBz (benzylnitrile),L,C(C#N)C1C=CC=CC=1,0,,182
NH₂ (amino: planar),LX,[NH2-],-1,,183
NH₃ (ammine),L,N,0,,184
OEt₂ (diethylether),L,O(CC)CC,0,,185
PhC≡CH (phenylethyne),L,C#CC1C=CC=CC=1,0,,186
OSiMe₃ (trimethylsiloxy),X,[O-][Si](C)(C)C,-1,,187
C₂F₄ (tetrafluoroethene),L,C(/F)(\F)=C(\F)/F,0,,188
O₂CPh (benzoato-κ²O),LX,C(=O)([O-])C1C=CC=CC=1,-1,,189
PPh₂ (diphenylphosphanyl),X,[P-](C1C=CC=CC=1)C1C=CC=CC=1,-1,,190
P(SiMe₃)₂ (bis(trimethylsilyl)phosphanyl),LX,[P-]([Si](C)(C)C)[Si](C)(C)C,-1,,191
SiHPh₂ (diphenylsilyl),X,[SiH-](C1C=CC=CC=1)C1C=CC=CC=1,-1,,192
SiH₃ (silyl),X,[SiH3-],-1,,193
SnMe₃ (trimethylstannyl),X,[Sn-](C)(C)C,-1,,194
TeSi(SiMe₃)₃ (tris{trimethylsilyl}silyltellanyl),X,[Te-][Si]([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C,-1,,195
C≡CPh (phenylethynyl),X,[C-]#CC1C=CC=CC=1,-1,,196
NHPh (phenylamino: planar),LX,[NH-]C1C=CC=CC=1,-1,,197
"(CO)₆ (hexacarbonyl, (C≡O)₆ octahedral Ⓢ)",L,[C-]#[O+],0,,198
GePh₃ (triphenylgermyl),X,[Ge-](C1C=CC=CC=1)(C1C=CC=CC=1)C1C=CC=CC=1,-1,,200
"COMe (acetyl-κC,κO)",LX,O=[C-]C,-1,,201
(Cp₂) (bis-(η⁵-cyclopentadienyl) X₂L₃ Ⓢ),L3X2,[CH-]1C=CC=C1.[CH-]1C=CC=C1,-2,,202
O₂CMe (acetato-κ²O),LX,C(C)(=O)[O-],-1,,203
S (thio),X2,[S-2],-2,,204
S₂CMe (dithioacetato-κ²S),LX,CC(=S)[S-],-1,,205
CO (carbonyl),L,[O+]#[C-],0,,206
P₅ (η⁵-cyclopentaphosphorus),L2X,[P-]1P=PP=P1,0,,207
C₆H₆ (benzene),L3,C1C=CC=CC=1,0,,208
C₇H₈ (toluene),L3,C1C=C(C)C=CC=1,0,,209
PEt₃ (triethylphosphane),L,P(CC)(CC)CC,0,,210
Dppm (bis-(diphenylphosphino)methane-κ²P),L2,P(C1C=CC=CC=1)(C1C=CC=CC=1)CP(C1C=CC=CC=1)C1C=CC=CC=1,0,,211
PhNNPh (diphenyldiazene),L2,N(/C1C=CC=CC=1)=N/C1C=CC=CC=1,0,,212
Au group (X type),X,[Au-],-1,,213
SnCy₃ (tricyclohexylstannyl),X,[Sn-](C1CCCCC1)(C1CCCCC1)C1CCCCC1,-1,,214
SBuᵗ (t-butylthio),X,[S-]C(C)(C)C,-1,,215
NEt₂ (diethylamino: planar),LX,[N-](CC)CC,-1,,216
OHMe (methanol),L,OC,0,,217
PMePh₂ (methyldiphenylphosphane),L,P(C1C=CC=CC=1)(C1C=CC=CC=1)C,0,,218
OSi(SiMe₃)₃ (tris-(trimethylsilyl)-siloxy),X,[O-][Si]([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C,-1,,219
"O(CH₂CH₂S)₂ (2,2-oxydiethanethiolato)",LX2,[S-]CCOCC[S-],-2,,220
