Ligand,LXZ_Classification,SMILES,Formal_Charge,Notes,Index
BuᵗC≡CH (t-butyl-ethyne),L,C#CC(C)(C)C,0,,815
CH₂=CHPh (phenylethene),L,C1C=CC=C(C=C)C=1,0,,816
η⁴-Cht (η⁴-cycloheptatriene),L2,C1=CC=CCC=C1,0,,817
As₄ (tetra-arsenacyclobutadiene),L2,[As]1=[As][As]=[As]1,0,,818
P₄ (Tetra-phosphacyclobutadiene),L2,P1=PP=P1,0,,819
Br (μ₂-bromo),LX,[Br-],-1,,820
Diox (dioxane-κO),L,C1COCCO1,0,,821
OPCl₃ (trichlorophosphane oxide),L,P(=O)(Cl)(Cl)Cl,0,kappa O,822
F (μ₂-fluoro),LX,[F-],-1,,823
CH₂Tol (tolylmethyl-κC),X,C1C=C(C)C=CC=1[CH2-],-1,,824
OMe₂ (dimethylether),L,COC,0,,825
Terpy (terpyridine-κ³N 1⊖),L3,C1(C2N=CC=CC=2)C=CC=C(C2C=CC=CN=2)N=1,0,,826
C₃H₄Me (η³-methylallyl),LX,[CH2-]C(C)=C,-1,,827
(⭀NBuᵗ)₂ (di(⭀NBuᵗ t-butylimino)-cis X₄L Ⓢ),LX4,CC(C)([N-2])C.CC(C)([N-2])C,-4,,828
OC(CF₃)₃ (perfluorobutoxy),X,C(C(F)(F)F)([O-])(C(F)(F)F)C(F)(F)F,-1,,829
=NPh (phenylimino),X2,C1C=CC=CC=1[N-2],-2,,830
NHEt (ethylamino: planar),LX,[NH-]CC,-1,,831
(C₅H₄Me)₂ (bis-(η⁵-methylcyclopentadienyl) X₂L₃ Ⓢ),L3X2,[CH-]1C=CC=C1C.[CH-]1C=CC=C1C,-2,,832
(SPh)₂ (bis(phenylthio) X₂L Ⓢ),LX2,C1C=CC=CC=1[S-].C1C=CC=CC=1[S-],-2,,833
HC≡CH (ethyne L₂),L2,C#C,0,,834
≡CCH₂Buᵗ (neopentylmethylidyne),X3,C([C-3])C(C)(C)C,-3,,835
Sb₃ (triantimonido),X3,[Sb-]1[Sb-][Sb-]1,-3,,836
HP—PH (diphosphene X₂),X2,[PH-][PH-],-2,,837
SiMe₂ (dimethylsilylene),X2,[Si-2](C)C,-2,,838
CH₂=CHMe (propene),L,C(=C)C,0,,839
Pz (pyrazolyl-κN),X,[N-]1C=CC=N1,-1,,840
SiMes₂ (dimesitylsilylene),X2,[Si-2](C)C,-2,,841
CH₂Mes (mesitylmethyl),X,[CH2-]C1C(C)=CC(C)=CC=1C,-1,,842
P(SiMe₃)₂ (bis(trimethylsilyl)phosphanyl XL),LX,[P-]([Si](C)(C)C)[Si](C)(C)C,-1,,843
BH₄ (tetrahydroborato-κ²H),L2,[BH4-],-1,,844
O₂CCF₃ (trifluoroacetato-κ²O),LX,[O-]C(=O)C(F)(F)F,-1,,845
O₂CH (formato-κ²O),LX,[O-]C=O,-1,,846
C(NMe)CH₂CH₂CH₂ (N-methylpyrrolidin-2-ylidene),L,N1(C)[C-2]CCC1,-2,,847
"OCH₂ (formaldehyde-κC,O)",L,C([H])([H])=O,0,,848
SC(O)Ph (thiobenzoato-κS),X,C1C=CC=C(C(=O)[S-])C=1,-1,,849
SeBz (benzylselenyl),X,C1C=CC=C(C[Se-])C=1,-1,,850
TeH (tellanyl),X,[TeH-],-1,,851
W(CO)₃Cp (tricarbonylcyclopentadienyltungsten),X,[W]1234(C5=C1[C-]2C3=C54)(C#O)(C#O)C#O,0,,852
"PhC≡CH (μ₂-η²,η²-phenylethyne)",LX,C1C=CC=C(C#C)C=1,0,,853
"EtC≡CEt (μ₂-η²,η²-hexyne)",LX,C(CC)#CCC,0,,854
"Me₃SiC≡CSiMe₃ (μ₂-η²,η²-bistrimethylsilylethyne)",LX,C([Si](C)(C)C)#C[Si](C)(C)C,0,,855
(PhC≡CPh)₃ (tris-(diphenylethyne) Ⓢ),L5,C(C1C=CC=CC=1)#CC1C=CC=CC=1.C(C1C=CC=CC=1)#CC1C=CC=CC=1.C(C1C=CC=CC=1)#CC1C=CC=CC=1,0,,856
MeC≡CMe (butyne L₂),L2,C(C)#CC,0,,857
PCy₂ (dicyclohexylphosphanyl),X,[P-](C1CCCCC1)C1CCCCC1,-1,,858
OC₂F₅ (pentafluoroethoxy),X,[O-]C(F)(F)C(F)(F)F,-1,,859
NMe₂ (dimethylamino),X,[N-](C)C,-1,,860
"C₆H₃(CF₃)₂ (3,5-trifluoromethyl-phenyl)",X,C1C(C(F)(F)F)=CC(C(F)(F)F)=C[C-]=1,-1,,861
S (μ₃-thio X₂L),X2L,[S-2],-2,,862
S(CH₂)₄O (thioxane-κS),L,C1COCCS1,0,,863
"OCH₂CH₂S (2-thio-ethanediolato-κO,κS)",X2,[O-]CC[S-],-2,,864
OM group (M—O complex),X,*[O-] |$M_p;$|,-1,skip,865
OGePh₃ (triphenylgermanoxy),X,[Ge](C1C=CC=CC=1)(C1C=CC=CC=1)(C1C=CC=CC=1)[O-],-1,,866
TcO₄ (tetraoxotechnetium-κO),X,[Tc](=O)(=O)(=O)[O-],-1,,867
I₃ (triiodo),X,I[I+]I,1,bent,868
PPh(OEt)₂ (diethyl-phenyl-phosphonito),L,P(OCC)(C1C=CC=CC=1)OCC,0,,869
Dmg-H₂ (dimethylglyoxime),L2,C/C(=N/O)/C(=N\O)/C,0,,870
S₂CSMe (methylcarbonotrithioato-κ²S),LX,C(SC)([S-])=S,0,S- and =S bonding,871
C≡CBuᵗ (t-butyl-ethynyl),X,[C-]#CC(C)(C)C,-1,,872
C(OCH₂CH₂CH₂CH₂) (2-oxocyclohexylidene),L,[C-2]1CCCCO1,-2,,873
H (μ₂-hydrido),X,[H-],-1,,874
H (μ₂-hydrido),X,[H-],-1,,875
"Py-κC,κN (pyridyl-κC,κN)",L,C1C=CC=[C-]N=1,-1,,876
Ru(CO)₅ (pentacarbonylruthenium Z),Z,[Ru](C#O)(C#O)(C#O)(C#O)C#O,0,,877
SEt₂ (diethylthioether),L,S(CC)CC,0,,878
OSEt₂ (diethylsulfoxide-κO),L,S(CC)(CC)=O,0,,879
Acac (acetylacetonato-κO),X,CC(=O)/C=C(\[O-])/C,-1,,880
CPh=CHPh (diphenylvinyl),X,[C-](/C1C=CC=CC=1)=C/C1C=CC=CC=1,-1,,881
CNMes (mesityl isocyanide),L,C1(C)C=C(C)C=C(C)C=1[N+]#[C-],0,,882
Fe(CO)₄ (tetracarbonyliron),Z,[Fe](C#O)(C#O)(C#O)C#O,0,,883
C=CMePh (methylphenylvinylidene),X2,[C-2]=C(C)C1C=CC=CC=1,-2,,884
SO (oxido-sulfur L type),L,S=O,0,,885
OSO₂Ph (p-phenyl-sulfonato),X,S(=O)([O-])(=O)C1C=CC(C)=CC=1,-1,This is mislabeled; it should be p-tosyl,886
Terpy (terpyridine-κ²N),L2,C1(C2N=CC=CC=2)C=CC=C(C2C=CC=CN=2)N=1,0,,887
Te(CH₂SiMe₃)₂ (bistrimethylsilylmethyl-tellurane),L,[Te](C[Si](C)(C)C)C[Si](C)(C)C,0,,888
NH₂ (amino),X,[NH2-],-1,,889
Fe₂(CO)₈ (bis-tetracarbonyliron X₂),X2,[Fe]12(C#O)(C#O)(C#O)C(=O)[Fe]1(C#O)(C#O)(C#O)C2=O,0,,890
SCl₂ (dichlorosulfane),L,S(Cl)Cl,0,,891
CH=CHPh (phenylvinyl),X,[CH-]=CC1C=CC=CC=1,-1,,892
CH₂OH (hydroxymethyl),X,[CH2-]O,-1,,893
AsEt₃ (triethylarsane),L,[As](CC)(CC)CC,0,,894
Tp (hydrotris(pyrazolyl)borato-κ²N),LX,[BH-](N1C=CC=N1)(N1C=CC=N1)N1N=CC=C1,-1,,895
CO₂ (carbon dioxide-κC),L,O=C=O,0,,896
C(OMe)Et (methoxyethylcarbene),L,[C-2](CC)OC,-2,,897
CO₂H (carboxyl),X,O=[C-]O,-1,,898
C₂H₄ (ethene X₂),X2,[CH2-][CH2-],-2,,899
C(NHMe)Ph (methylaminophenylcarbene),L,[C-2](NC)C1C=CC=CC=1,-2,,900
IMe (iodomethane),X,CI,0,kappa I,901
"S(CH₂)₂ (thiirane, ethylenesulfide)",L,C1SC1,0,,902
SO₃H (sulfonato-κS),X,[S+](O)(=O)=O,1,,903
C₅Cl₅ (η⁵-pentachlorocyclopentadienyl),L2X,[C-]1(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl,-1,,904
PHMe₂ (dimethylphosphane),L,P(C)C,0,,905
OSO₂H (sulfonato-κO),X,[S-](O)(=O)=O,-1,,906
OC₄Ph₄ (η⁴-tetraphenylcyclopentadieneone),L2,C1(=O)C(C2C=CC=CC=2)=C(C2C=CC=CC=2)C(C2C=CC=CC=2)=C1C1C=CC=CC=1,0,,907
C₆Me₆ (η⁴-hexamethylbenzene),L2,C1(C)C(C)=C(C)C(C)=C(C)C=1C,0,,908
C≡CTol (tolylethynyl),X,[C-]#CC1C=CC(C)=CC=1,-1,,909
Tol-o (o-tolyl),X,C1(C)[C-]=CC=CC=1,-1,,910
CH=CHMe (methylvinyl),X,[CH-]=CC,-1,,911
SO₂ (dioxo-sulfur-κS Z),Z,O=S=O,0,,912
CO₂Et (ethoxycarbonyl),X,[C-](=O)OCC,-1,,913
SbPrⁱ₃ (triisopropylstibane),L,[Sb](C(C)C)(C(C)C)C(C)C,0,,914
OSiEt₃ (triethylsiloxy),X,[Si-](OCC)(OCC)OCC,-1,,915
Si(OEt)₃ (tri-ethoxy-silyl),X,[Si-](OCC)(OCC)OCC,-1,,916
O₂CC₆F₅ (pentafluorobenzoato-κO),X,[O-]C(=O)C(F)(F)F,-1,,917
O (oxo O⊖ X),X,[O-2],-2,,918
OPF₂O (difluorophosphate),X,P(F)(F)(=O)[O-],-1,,919
OSO₂Ph (phenyl-sulfonato-κ²O),LX,C1C(C)=CC=C(S([O-])(=O)=O)C=1,-1,,920
"Tp* (hydrotris(3,5-dimethylpyrazolyl)borato-κN)",X,B(N1C(C)=CC(C)=N1)(N1C(C)=CC(C)=N1)N1C(C)=CC(C)=N1,-1,,921
AsPrⁱ₃ (triisopropyl-arsane),L,[As](C(C)C)(C(C)C)C(C)C,0,,922
Co(CO)₄ (tetracarbonylcobalt),X,[Co](C#O)(C#O)(C#O)C#O,0,,923
PBuᵗ₂Ph (phenyl-di-t-butylphosphane),L,P(C(C)(C)C)(C(C)(C)C)C1C=CC=CC=1,0,,924
CFH₂ (fluoromethyl),X,F[CH2-],-1,,925
NH₂Bz (benzylamine),L,C1C=CC=C(CN)C=1,0,,926
AsMe₂Ph (dimethylphenylarsane),L,[As](C1C=CC=CC=1)(C)C,0,,927
CH₂(PMe₃) (trimethylphosphonium-ylide),X,[CH2-][P+](C)(C)C,0,,928
C(NMe₂)H (dimethylaminocarbene),L,[CH-](N(C)C)N(C)C,-1,,929
(CH₂)₃ (trimethylene-κ²C),X2,[CH2-]C[CH2-],-2,,930
GaCl₃ (trichlorogallane),Z,[Ga](Cl)(Cl)Cl,0,,931
Si(OMe)₃ (tri-methoxy-silyl),X,[Si-](OC)(OC)OC,-1,,932
SCH₂S (methanedithiolato-κ²S),X2,[S-]C[S-],-2,,933
NH(C₂H₄) (aziridine),L,C1NC1,0,,934
"CH₂=CPh₂ (1,1-diphenylethene)",L,C=C(C1C=CC=CC=1)C1C=CC=CC=1,0,,935
"Cod (η⁴-cycloocta-1,3-diene)",L2,"C1CCC=CC=CC1 |c:3,5|",0,,936
Dppm (μ₂-bis-(diphenylphosphino)methane),L,P(C1C=CC=CC=1)(C1C=CC=CC=1)CP(C1C=CC=CC=1)C1C=CC=CC=1,0,,937
"Dcpe (1,2-bis-(dicyclohexylphosphino)ethane)",L2,P(C1CCCCC1)(C1CCCCC1)CCP(C1CCCCC1)C1CCCCC1,0,,938
"[10]aneS₃ (1,4,7-trithiocyclodecane-κ²S)",L2,C1SCCCSCCSC1,0,,939
"[9]aneN₃-1,4,7-Me₃ (1,4,7-trimethyl-1,4,7-triazacyclononane-κ²N)",L2,"Me3TACN, TACNMe3",0,,940
"[12]aneS₄ (1,4,7,10-tetrathiacyclododecane-κ²S)",L2,C1SCCSCCSCCSC1,0,,941
Phen (phenanthroline-κN),L,C1C=NC2C(=CC=C3C=2N=CC=C3)C=1,0,,942
C₂F₄ (tetrafluoroethene X₂),X2,C(/F)(\F)=C(\F)/F,0,,943
CH₂CO₂Me (methylcarboxylmethyl),X,[CH2-]C(C)=O,-1,Wrong description:  CH2COMe,944
CH₂NO₂ (nitromethyl),X,[CH2-][N+]([O-])=O,-1,,945
C₆H₄OMe (p-methoxy-phenyl),X,C1[C-]=CC=C(OC)C=1,-1,,946
GeHPh₂ (diphenylgermyl),X,[GeH-](C1C=CC=CC=1)C1C=CC=CC=1,-1,,947
Hfa (hexafluoroacetylacetonato-κO),X,C(F)(F)(F)C(=O)/C=C(\[O-])/C(F)(F)F,-1,,948
S(Ph)C₆H₄SPh (bis(phenylthio)benzene-κ²S),L2,C1C=CC=C(SC2C=CC=CC=2)C=1SC1C=CC=CC=1,0,,949
OSO₂F (fluoromethanesulfonato),X,S(=O)(=O)(F)[O-],-1,,950
O₂C₇H₅ (tropolonato-κO),X,C1=CC=CC=C([O-])C1=O,-1,,951
SCPhCCPhS (diphenylethenedithiolato-κ²S),LX,C(C1C=CC=CC=1)([S-])C(=S)C1C=CC=CC=1,-1,,952
C(NEt₂)Ph (diethylaminophenylcarbene),L,[N+](/CC)(\CC)=[C-]/C1C=CC=CC=1,-1,,953
C₆H₄Br (p-bromophenyl),X,C1C=[C-]C=CC=1Br,-1,,954
C₆H₄CF₃ (p-trifluoromethyl-phenyl),X,C1C=C(C(F)(F)F)C=C[C-]=1,-1,,955
C₆H₄Cl (p-chlorophenyl),X,C1C=C(Cl)C=C[C-]=1,-1,,956
C(SCHCHCH) (thienyl),X,S1[C-]=CC=C1,-1,,957
AsTol₃ (tritolylarsane),L,[As](C1C=CC(C)=CC=1)(C1C=CC(C)=CC=1)C1C=CC(C)=CC=1,0,,958
CF=CF₂ (trifluorovinyl),X,[C-](/F)=C(/F)\F,-1,,959
CO₂Ph (phenoxycarbonyl),X,O=[C-]OC1C=CC=CC=1,-1,,960
C(NHMe)OMe (methoxyaminomethylcarbene),L,[C-2](NC)OC,-2,,961
NH₂Prⁿ (n-propylamine),L,NCCCC,0,,962
NPh=NPh (diphenyldiazene-κN)),L,N(/C1C=CC=CC=1)=N\C1C=CC=CC=1,0,,963
Te(CH₂)₄ (telluracyclopentane),L,[Te]1CCCC1,0,,964
TeMes₂ (dimesityltellurane),L,[Te](C1C(C)=CC(C)=CC=1C)C1C(C)=CC(C)=CC=1C,0,,965
NHC₄H₈ (pyrrolidine),L,N1CCCC1,0,,966
"NC₅H₂Me₃ (2,4,6-trimethylpyridine)",L,C1(C)C=C(C)C=C(C)N=1,0,,967
NCy₂H (dicyclohexylamine),L,N(C1CCCCC1)C1CCCCC1,0,,968
MesP=PMes (dimesityldiphosphene),L,P(C1C(C)=CC(C)=CC=1C)=PC1C(C)=CC(C)=CC=1C,0,,969
PhP=PPh (diphenyldiphosphene),L,P(C1C=CC=CC=1)=PC1C=CC=CC=1,0,,970
"Dppe (1,2-bis-(diphenylphosphino)ethane-κP)",L,C(P(C1C=CC=CC=1)C1C=CC=CC=1)CP(C1C=CC=CC=1)C1C=CC=CC=1,0,,971
AsCy₃ (tricyclohexylarsane),L,[As](C1CCCCC1)(C1CCCCC1)C1CCCCC1,0,,972
C(SPh₂)₂ (dithiophenylcarbone L₂),L2,[C-2]([S](C1C=CC=CC=1)C1C=CC=CC=1)[S](C1C=CC=CC=1)C1C=CC=CC=1,0,,973
BrO₃ (bromato-κ²O),LX,Br([O-])(=O)=O,-1,,974
Tetraglyme (tetraethylene glycol dimethyl ether-κ³O),L3,COCCOCCOCCOCCOC,0,,975
CH(PPh₃)₂ (bis-(triphenylphosphonio)methyl),X,[CH-]([P+](C)(C)C)[P+](C)(C)C,1,C([P+](C)(C)C)=P(C)(C)C,976
N(CH)₄NO (pyrazine-N-oxide),L,C1N=CC=[N+]([O-])C=1,0,,977
NHBz₂ (dibenzylamine),L,N(CC1C=CC=CC=1)CC1C=CC=CC=1,0,,978
P₄ (tetraphosphorus),L,P12P3P1P23,0,,979
C₆H₄NO₂ (p-nitro-phenyl),X,C1C=C([N+]([O-])=O)C=C[C-]=1,-1,,980
Ttc (tritolylcorrolato-κ⁴N),LX3,"C1C2[N-]C(=CC3[N-]C(C4C=CC(=CC5[N-]C(C=2)=CC=5)N=4)=CC=3)C=1 |t:3,11,16|",-3,,981
"(OCNH₂CH₂)N (nitrilotriacetamide-κN,κ³O)",L4,N(CC(=O)N)(CC(=O)N)CC(=O)N,0,Entire taxonomy is incorrect,982
Tetraglyme (tetraethylene glycol dimethyl ether-κ⁵O),L5,COCCOCCOCCOCCOC,0,,983
P(SiPh₃)₂ (bis(triphenylsilyl)phosphanyl),X,[Si](C1C=CC=CC=1)(C1C=CC=CC=1)(C1C=CC=CC=1)[P-][Si](C1C=CC=CC=1)(C1C=CC=CC=1)C1C=CC=CC=1,-1,,984
OHPrⁱ (isopropanol),L,OC(C)C,0,,985
B(C₆F₅)₄ (tetrakis(pentaflurofluorophenyl)borate-κF),L,[B-](C1C(F)=C(F)C(F)=C(F)C=1F)(C1C(F)=C(F)C(F)=C(F)C=1F)(C1C(F)=C(F)C(F)=C(F)C=1F)C1C(F)=C(F)C(F)=C(F)C=1F,-1,,986
C₅H₂(Buᵗ)₃ (η⁵-tris(t-butyl)cyclopentadienyl),L2X,[C-]1(C)C=C(C)C(C)=C1,-1,,987
BpyO₂ (bipyridine-dioxide-κ²O),L2,C1[N+]([O-])=CC=C(C2C=C[N+]([O-])=CC=2)C=1,0,"This is ambiguous. Some complexes have 4,4'-bipyridine and others are 2,2'-bipyridine, 4,4' -- in SMILES field 2,2' --  C1C=CC=C(C2C=CC=C[N+]=2[O-])[N+]=1[O-]",988
"[18]aneO₄Se₂ (tetraoxa-7,16-diselenacyclooctadecane-κ²Se,κ⁴O)",L6,C1OCCOCC[Se]CCOCCOCC[Se]C1,0,,989
NCCy (cyclohexylnitrile),L,C1CCCCC1C#N,0,,990
"OC₆H₂(NO₂)₃-2,4,6 (picrato-κ²O)",LX,C1([N+]([O-])=O)C=C([N+]([O-])=O)C=C([N+]([O-])=O)C=1[O-],-1,,991
OPEt₃ (triethylphosphane oxide),L,P(=O)(CC)(CC)CC,0,,992
benzo-12-crown-4 (benzo-12-crown-4-κ⁴O),L4,C12C=CC=CC=1OCCOCCOCCO2,0,,993
C(SiHMe₂)₃ (tris{dimethylsilyl}methyl),X,[C-]([SiH](C)C)([SiH](C)C)[SiH](C)C,-1,,994
C≡CSiBuᵗ₃ (tri-t-butylsilylalkynyl),X,[C-]#C[Si](C(C)(C)C)(C(C)(C)C)C(C)(C)C,-1,,995
C₄H₄Me₂ (η⁴-dimethylbutadiene),L2,C=C(C)C(C)=C,0,,996
PHPh (phenylphosphanyl),X,[PH-]C1C=CC=CC=1,-1,,997
PEt₂ (diethylphosphanyl),X,[P-](CC)CC,-1,,998
"Pz-Me₂ (3,5-dimethyl-pyrazolyl-κ²N)",LX,[N-]1N=C(C)C=C1C,-1,,999
SBuⁿ (n-butylthio),X,[S-]CCCC,-1,,1000
C₈H₈ (η³-cyclooctatetraenyl),LX,"C1C=CC=CC=CC=1 |c:1,3,5,7|",0,,1001
CH₂=CMe₂ (isobutene),L,C=C(C)C,0,eta 2,1002
=CH(SiMe₃) (trimethylsilylmethylidene),X2,[CH-2][Si](C)(C)C,-2,,1003
CH₂(PMe₂Ph) (dimethylphenylphosphonium-ylide),X,[CH2-][P+](C1C=CC=CC=1)(C1C=CC=CC=1)C,0,this points to two complexes that are CH2(PMePh2),1004
SiBuᵗ₂H (di-t-butylsilyl),X,C(C)(C)(C)[SiH-]C(C)(C)C,-1,,1005
(Cp*₂) (bis-(η⁵-pentamethylcyclopentadienyl) X₂L₃ Ⓢ),L3X2,[C-]1(C)C(C)=C(C)C(C)=C1C.[C-]1(C)C(C)=C(C)C(C)=C1C,-2,,1006
Se group (X₂ type),X2,[Se-2],-2,,1007
Zn group (X type),X,[Zn],0,,1008
=CH₂ (methylidene),X2,[CH2-2],-2,,1009
(NMe₂)₅ (penta(dimethylamino X₅L₄ planar) Ⓢ),L4X5,[N-](C)C.[N-](C)C.[N-](C)C.[N-](C)C.[N-](C)C,-5,,1010
C₄H₆ (η²-butadiene),L,C=CC=C,0,,1011
HP=PH (diphosphene),L,P=P,0,,1012
N₃Ph (phenylazido),L,C1C=CC=CC=1N=[N+]=[N-],-2,This eta 1 N bonded,1013
C₄H₄Me₂ (σ²-η²-dimethylbutadiene),LX2,C(/C)(\[CH-2])=C(/C)\[CH-2],-2,This is actually C4H2Me2,1014
O (μ₂–oxo X+X),X,[O-2],-2,,1015
OCMe(NHPh) (N-phenylacetamide-κO),L,CC(=O)NC1C=CC=CC=1,0,,1016
CH₂CH₂OBuᵗ (t-butoxylethyl),X,[CH2-]COC(C)(C)C,-1,,1017
=PPh (phenylphosphinidine),X2,[P-2]C1C=CC=CC=1,-2,,1018
PH₂Buᵗ (t-butylphosphane),L,PC(C)(C)C,0,,1019
≡CMes (mesitylmethylidyne),X3,C1C(C)=CC(C)=C([C-3])C=1C,-3,,1020
FXeF (difluoroxenon),L,[Xe](F)F,0,,1021
≡CBuᵗ (neopentylidyne),X3,CC(C)(C)[C-3],-3,,1022
=CMePh (methylbenzylidene),X2,[C-2](C)C1C=CC=CC=1,-2,,1023
C(NEt₂)H (diethylaminocarbene),L,[CH-2]N(CC)CC,-2,,1024
≡CPPh₃ (triphenylphosphinomethylidyne),X3,[C-3][P+](C1C=CC=CC=1)(C1C=CC=CC=1)C1C=CC=CC=1,-2,,1025
(NHBuᵗ)₂ (bis(t-butylamino): planar X₂L Ⓢ),LX2,[NH-]C(C)(C)C.[NH-]C(C)(C)C,-2,,1026
(OBuᵗ)₂ (bis-(t-butyloxy) X₂L Ⓢ),LX2,[O-]C(C)(C)C.[O-]C(C)(C)C,-2,,1027
MeC≡CH (propyne),L,CC#C,0,,1028
≡CTol (tolylmethylidyne),X3,[C-3]C1C=CC(C)=CC=1,-3,,1029
≡CH (methylidyne),X3,[CH-3],-3,,1030
≡CF (fluoromethylidyne),X3,[C-3]F,-3,,1031
SiH₂Ph (phenylsilyl),X,[SiH2-]C1C=CC=CC=1,-1,,1032
=CHTol (tolylidene),X2,[CH-2]C1C=CC(C)=CC=1,-2,,1033
MeNNMe (dimethyldiazene),L2,C/N=N/C,0,,1034
(⭀NMes)₂ (⭀NMes mesitylimino-cis X₄L Ⓢ),LX4,C1(C)C=C(C)C=C(C)C=1[N-2].C1(C)C=C(C)C=C(C)C=1[N-2],-4,,1035
Te (telluro; ⭀Te),LX2,[Te-2],-2,,1036
GeBr₃ (tribromogermyl),X,[Ge-](Br)(Br)Br,-1,,1037
CH₂=SiMe₂ (dimethylsilylidenemethane),L,C=[Si](C)C,0,,1038
NNMe (methyldiazo),LX,[N-]=NC,-1,,1039
"PBuᵗ₂ (dibutylphosphanyl, planar)",LX,[P-](C(C)(C)C)C(C)(C)C,-1,,1040
GaMe₂ (dimethylgallanyl),X,[Ga-2](C)C,-2,,1041
Dpam (bis(diphenylarsino)methane-κ²As),L2,C([As](C1C=CC=CC=1)C1C=CC=CC=1)[As](C1C=CC=CC=1)C1C=CC=CC=1,0,,1042
Mo(CO)₃Cp* (tricarbonylpentamethylcyclopentadienylmolybdenum),X,[Mo]1234([C-]5C1=C2C3=C54)(C#O)(C#O)C#O,0,,1043
SiMe₂=SiMe₂ (tetramethydilsilene),L,[Si](/C)(\C)=[Si](\C)/C,0,,1044
AsC₅H₅ (arsenine),L,C1C=CC=C[As]=1,0,,1045
SCHPh (thiobenzaldehyde-S),L,S=CC1C=CC=CC=1,0,,1046
(PhC≡CH)₃ (tris-(phenylethyne) Ⓢ),L5,C1C=CC=CC=1C#C.C1C=CC=CC=1C#C.C1C=CC=CC=1C#C,0,,1047
C₆F₆ (hexafluorobenzene),L3,C1(F)C(F)=C(F)C(F)=C(F)C=1F,0,,1048
=NC₆F₅ (pentafluorophenylimino),X2,[N-2]C1C(F)=C(F)C(F)=C(F)C=1F,-2,,1049
OCN (cyanato-κO),X,[O-]C#N,-1,,1050
(O)₂ (dioxo O₂ 2⊖ X₂L Ⓢ),LX2,[O-2].[O-2],-4,,1051
=C(CH₂CH₂CH₂CH₂) (cyclopentylidene),X2,[C-2]1CCCC1,-2,,1052
NMes₂ (dimesitylamino),X,[N-](C1C(C)=CC(C)=CC=1C)C1C(C)=CC(C)=CC=1C,-1,,1053
≡CBz (benzylidyne),X3,C1C=CC=C(C[C-3])C=1,-3,,1054
CHMe=CHMe (but-2-ene),L,C/C=C/C,0,,1055
O=CMePh (acetophenone),L,CC(=O)C1C=CC=CC=1,0,kappa O,1056
"SeCH₂ (selenoformaldehyde-κC,S)",L,[H]C(=[Se])[H],0,,1057
≡CNH₂ (aminomethylidyne),X3,[C-3]N,-3,,1058
O (μ₂–oxo X₂L₂),L2X2,[O-2],-2,,1059
"C(OCH₂CH₂O) (2,5-dioxocyclopentylidene)",L,[C-2]1OCCO1,-2,,1060
NCTol (tolylnitrile),L,C1C=C(C#N)C=CC=1C,0,,1061
En (ethylenediamine-κN),L,NCCN,0,,1062
Nb group (X type),X,[Nb],0,,1063
I group (L type),L,[I-],-1,"mu 2 Iodine",1064
BCl₂ (dichloroboryl),X,[B+](Cl)Cl,1,,1065
SC₄H₄ (thiophene),L,S1C=CC=C1,0,,1066
(EtC≡CEt)₃ (tris-(diethylethyne) Ⓢ),L5,C(CC)#CCC.C(CC)#CCC.C(CC)#CCC,0,,1067
(MeC≡CMe)₃ (tris-(dimethylethyne) Ⓢ),L5,C(C)#CC.C(C)#CC.C(C)#CC,0,,1068
C₇H₇ (η¹-cycloheptatrienyl),X,C1=C[CH-]C=CC=C1,-1,,1069
O₂CEt (μ₂-propanoato),LX,CCC(=O)[O-],-1,,1070
≡CSiMe₃ (trimethylsilylmethylidyne),X3,[C-3][Si](C)(C)C,-3,,1071
SBz₂ (dibenzylthioether),L,C1C=CC=C(CSCC2C=CC=CC=2)C=1,0,,1072
"NSe (selenonitrosyl, linear)",LXZ,N#[Se+],1,,1073
SnF₃ (trifluorostannyl),X,[Sn-](F)(F)F,-1,,1074
PBuᵗ₂Me (methyl-di-t-butylphosphane),L,P(C(C)(C)C)(C(C)(C)C)C,0,,1075
S(CH₂)₅ (pentamethylenesulfide),L,C1CCCCS1,0,thiane,1076
=CHBz (phenylethylidene),X2,[CH-2]CC1C=CC=CC=1,-2,,1077
NCN (cyanoimido),X2,[N-2]C#N,-2,,1078
"[6]aneS₃ (1,3,5-trithiane-κS)",L,C1SCSCS1,0,,1079
(CH₂)₅ (pentamethylene-κ²C),X2,C(CC[CH2-])[CH2-],-2,,1080
H₂NNH₂ (hydrazine-κN),L,NN,0,,1081
CTe (tellurocarbonyl),L,[C-2]=[Te],-2,,1082
SnH₃ (stannyl),X,[Sn-]([H])([H])[H],-1,,1083
ONPh (nitrosobenzene),L,O=Nc1ccccc1,0,,1084
C₆H₁₀ (cyclohexene),L,C1CCC=CC1,0,,1085
C₇H₇ (η³-cycloheptatrienyl),LX,C1=C[CH-]C=CC=C1,-1,,1086
C (carbido),X2Z,[C-4],-4,,1087
Buⁱ (isobutyl),X,[CH2-]C(C)C,-1,,1088
=NSCl (chlorothioimino),X2,N#SCl,0,,1089
NMe(CH₂)₂O(CH₂)₂ (N-methyl-morpholine),L,C1COCCN1C,0,kappa N,1090
COCH₂Buᵗ (neopentylacyl),X,C(C)(C)(C)C[C-]=O,-1,,1091
NHXy (xylylamino),X,C1C(C)=CC(C)=CC=1[NH-],-1,,1092
